Income (Median family income) for Texas by County
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2019-2023"
Sorted by Value

County,FIPS,Value (Dollars),Rank within US (of 3139 counties)
"Callahan County",48059,"75,941","1,920"
"Franklin County",48159,"76,203","1,898"
"Milam County",48331,"76,446","1,873"
"Menard County",48327,"77,344","1,805"
"Rains County",48379,"77,377","1,801"
"Hamilton County",48193,"77,388","1,797"
"Gregg County",48183,"77,425","1,793"
"Pecos County",48371,"77,715","1,772"
"Cottle County",48101,"77,717","1,771"
"Madison County",48313,"77,742","1,768"
"Donley County",48129,"78,091","1,739"
"Irion County",48235,"78,125","1,736"
"Mills County",48333,"78,125","1,736"
"Hill County",48217,"78,513","1,709"
"San Patricio County",48409,"78,520","1,707"
"Coryell County",48099,"78,730","1,689"
"Childress County",48075,"78,828","1,679"
"Robertson County",48395,"78,837","1,678"
"Nueces County",48355,"78,933","1,667"
"Hopkins County",48223,"78,992","1,665"
"Montague County",48337,"79,182","1,652"
"Hunt County",48231,"79,310","1,638"
"Henderson County",48213,"79,355","1,636"
"Bell County",48027,"79,450","1,629"
"Wood County",48499,"80,153","1,581"
"Atascosa County",48013,"80,391","1,566"
"Caldwell County",48055,"80,398","1,565"
"Parmer County",48369,"80,670","1,549"
"Harrison County",48203,"80,735","1,547"
"Wharton County",48481,"81,036","1,523"
"Freestone County",48161,"81,037","1,522"
"Llano County",48299,"81,256","1,510"
"Wichita County",48485,"81,529","1,488"
"Grimes County",48185,"81,727","1,479"
"Van Zandt County",48467,"81,732","1,478"
"Scurry County",48415,"81,974","1,452"
"Comanche County",48093,"82,016","1,449"
"Bosque County",48035,"82,047","1,446"
"Lubbock County",48303,"82,282","1,426"
"Dallam County",48111,"82,306","1,423"
"Ochiltree County",48357,"82,616","1,397"
"Bailey County",48017,"82,917","1,374"
"Oldham County",48359,"82,981","1,368"
"Rusk County",48401,"83,000","1,365"
"Panola County",48365,"83,021","1,364"
"Ector County",48135,"83,095","1,356"
"Reagan County",48383,"83,111","1,354"
"Tom Green County",48451,"83,170","1,352"
"McLennan County",48309,"83,268","1,344"
"Fannin County",48147,"83,681","1,320"
"Roberts County",48393,"83,750","1,315"
"Victoria County",48469,"83,877","1,303"
"Armstrong County",48011,"83,938","1,299"
"Taylor County",48441,"83,956","1,298"
"Calhoun County",48057,"84,763","1,237"
"Kerr County",48265,"84,820","1,232"
"Mason County",48319,"84,847","1,229"
"Delta County",48119,"84,856","1,226"
"Bexar County",48029,"84,936","1,216"
"Lipscomb County",48295,"85,000","1,210"
"Erath County",48143,"85,301","1,186"
"Waller County",48473,"85,383","1,177"
"Dallas County",48113,"85,452","1,172"
"Grayson County",48181,"85,605","1,159"
"Young County",48503,"86,090","1,131"
"Howard County",48227,"86,214","1,125"
"Harris County",48201,"86,227","1,123"
"Sherman County",48421,"86,275","1,121"
"Brazos County",48041,"86,562","1,105"
"Smith County",48423,"86,676","1,091"
"Lavaca County",48285,"86,724","1,088"
"Burleson County",48051,"87,949","1,028"
"Goliad County",48175,"88,814","975"
"Shackelford County",48417,"88,984","963"
"Bandera County",48019,"89,507","927"
"Hutchinson County",48233,"89,844","913"
"Medina County",48325,"89,969","906"
"Andrews County",48003,"90,072","900"
"Colorado County",48089,"90,342","886"
"Hartley County",48205,"91,146","850"
"Cooke County",48097,"91,182","847"
"Yoakum County",48501,"91,396","841"
"Johnson County",48251,"91,560","832"
"Schleicher County",48413,"92,147","811"
"Archer County",48009,"92,292","800"
"Kimble County",48267,"92,454","796"
"Gaines County",48165,"92,458","795"
"Washington County",48477,"92,645","783"
"Martin County",48317,"92,696","778"
"Burnet County",48053,"92,976","766"
"Clay County",48077,"93,254","752"
"Hardin County",48199,"93,519","741"
"Gillespie County",48171,"93,583","739"
"Fayette County",48149,"94,478","693"
"Lampasas County",48281,"94,722","682"
"Hansford County",48195,"94,765","680"
"Bastrop County",48021,"94,804","678"
"Stonewall County",48433,"95,119","661"
"Kent County",48263,"95,167","658"
"Austin County",48015,"95,354","646"
"Orange County",48361,"95,784","623"
"Somervell County",48425,"96,810","581"
"Mitchell County",48335,"96,949","576"
"Blanco County",48031,"97,647","542"
"Kaufman County",48257,"98,823","505"
"Tarrant County",48439,"99,287","487"
"Randall County",48381,"101,382","435"
"Hood County",48221,"102,329","407"
"Winkler County",48495,"102,958","389"
"Wise County",48497,"103,720","369"
"Ellis County",48139,"106,294","326"
"Hays County",48209,"106,301","324"
"Guadalupe County",48187,"106,352","323"
"Galveston County",48167,"107,271","308"
"Wilson County",48493,"107,326","304"
"Crockett County",48105,"107,576","298"
"Brazoria County",48039,"109,768","264"
"Hemphill County",48211,"113,816","215"
"Carson County",48065,"113,929","212"
"Midland County",48329,"114,731","208"
"Montgomery County",48339,"114,809","206"
"Parker County",48367,"116,107","194"
"Comal County",48091,"118,240","176"
"Chambers County",48071,"121,384","150"
"Travis County",48453,"126,667","116"
"Fort Bend County",48157,"127,048","114"
"Sterling County",48431,"128,500","100"
"Williamson County",48491,"129,273","94"
"Denton County",48121,"132,005","79"
"Kendall County",48259,"133,906","70"
"Rockwall County",48397,"137,781","60"
"Glasscock County",48173,"139,205","54"
"Collin County",48085,"140,955","48"
"Kenedy County",48261,NA,"N/A"
"Loving County",48301,NA,"N/A"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 3/2/2025. Available from https://hdpulse.nimhd.nih.gov

Notes:
"NA: Data not available [http://hdpulse.nimhd.nih.gov/data/datanotavailable.html] for this combination of geography, cancer site, age, and race/ethnicity."
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income (Median family income), see the dictionary at http://hdpulse.nimhd.nih.gov/dictionary.php#income."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
